"Time (s)" "Gyroscope x (rad/s)" "Gyroscope y (rad/s)" "Gyroscope z (rad/s)"
4.380379080E-1 -5.321509019E-2 4.380776547E-3 4.415682983E-3
4.420379080E-1 -5.368632823E-2 1.361356769E-2 1.525417715E-2
4.460379080E-1 -4.115486518E-2 8.482299745E-3 2.108357660E-2
4.500379080E-1 -2.401573025E-2 6.963863503E-3 2.291617356E-2
4.540379080E-1 -6.457718089E-3 1.921607554E-2 1.961750165E-2
4.580379080E-1 1.284562331E-2 2.815216035E-2 9.581857361E-3
4.620379080E-1 3.700098023E-2 1.755801216E-2 -7.173303049E-3
4.660379080E-1 6.003932655E-2 -9.302604944E-3 -2.658136375E-2
4.700379080E-1 7.295475900E-2 -2.895501256E-2 -4.672246426E-2
4.740379080E-1 6.852162629E-2 -3.380702808E-2 -4.942772537E-2
4.780379080E-1 5.094616115E-2 -2.136282995E-2 -4.468042776E-2
4.820379080E-1 2.241002768E-2 1.012290944E-3 -4.134684801E-2
4.860379080E-1 -3.089232836E-3 4.764748737E-3 -3.790855035E-2
4.900379080E-1 -2.223549411E-2 -1.741838641E-2 -4.363323003E-2
4.940441580E-1 -3.804817796E-2 -4.492477328E-2 -5.146975815E-2
4.980379080E-1 -5.045747012E-2 -5.347688869E-2 -5.651376024E-2
5.020379080E-1 -5.761331692E-2 -4.951499030E-2 -5.333726108E-2
5.060379080E-1 -6.068509817E-2 -3.673918173E-2 -4.118977115E-2
5.100379080E-1 -6.178465486E-2 -5.131267942E-3 -2.598795295E-2
5.140379080E-1 -5.469861999E-2 3.338814899E-2 -8.464846760E-3
5.180379080E-1 -3.284709528E-2 5.370378122E-2 1.658062800E-3
5.220379080E-1 -1.082104165E-3 5.040510744E-2 6.405358203E-3
5.260379080E-1 3.382448107E-2 3.808308393E-2 9.599311277E-3
5.300379080E-1 6.190682948E-2 3.904301673E-2 4.869468510E-3
5.340379080E-1 8.066911995E-2 5.590289459E-2 -5.986479111E-3
5.380379080E-1 9.278170019E-2 4.890412465E-2 -2.371902391E-2
5.420379080E-1 1.030267850E-1 -7.853981806E-4 -5.167919770E-2
5.460379080E-1 1.007404029E-1 -5.745624006E-2 -7.419394702E-2
5.500379080E-1 6.810274720E-2 -5.682792142E-2 -7.660250366E-2
5.540379080E-1 4.921828397E-3 2.916445211E-2 -7.405432314E-2
5.580379080E-1 -4.906120524E-2 8.909905702E-2 -6.843435764E-2
5.620379080E-1 -6.916739792E-2 4.003785178E-2 -6.152285635E-2
5.660379080E-1 -6.550220400E-2 -6.743951887E-2 -6.003932655E-2
5.700379080E-1 -6.122614816E-2 -1.284911335E-1 -5.619960278E-2
5.740379080E-1 -6.522295624E-2 -1.192583442E-1 -4.825835302E-2
5.780379080E-1 -7.108726352E-2 -6.803293526E-2 -3.686135262E-2
5.820379080E-1 -7.337363809E-2 -1.069886796E-2 -1.569050923E-2
5.860379080E-1 -6.661921740E-2 3.586651757E-2 2.478367416E-3
5.900379080E-1 -3.881612420E-2 5.345943570E-2 8.883725852E-3
5.940379080E-1 1.396263367E-3 3.995058686E-2 6.649704650E-3
5.980379080E-1 4.141666368E-2 2.645919099E-2 -2.513274085E-3
6.020379080E-1 7.201228291E-2 3.031636961E-2 -1.694714651E-2
6.060379080E-1 9.218829125E-2 4.068362340E-2 -3.651228920E-2
6.100379080E-1 1.004611477E-1 3.736750036E-2 -6.059783325E-2
6.140504080E-1 9.044296294E-2 4.173082113E-2 -7.833037525E-2
6.180379080E-1 6.524040550E-2 6.244787946E-2 -7.977899909E-2
6.220379080E-1 3.562216833E-2 7.827802002E-2 -7.428121567E-2
6.260379080E-1 6.667157635E-3 6.901031733E-2 -6.578145921E-2
6.300379080E-1 -8.848818950E-3 2.597049996E-2 -5.572836101E-2
6.340379080E-1 -2.040289901E-2 -3.947934881E-2 -5.009094998E-2
6.380379080E-1 -3.576179594E-2 -5.825908855E-2 -5.087634921E-2
6.420379080E-1 -5.948081985E-2 -3.059562109E-2 -5.169665068E-2
6.460379080E-1 -6.691592187E-2 -1.986184716E-2 -4.694935679E-2
6.500379080E-1 -5.647885427E-2 -3.981095925E-2 -4.359832406E-2
6.540379080E-1 -4.173082113E-2 -5.530948564E-2 -3.565707803E-2
6.580379080E-1 -3.049090132E-2 -3.452261165E-2 -2.333505265E-2
6.620379080E-1 -2.244493365E-2 8.255407214E-3 -1.424188633E-2
6.660379080E-1 -8.464846760E-3 3.195697814E-2 -1.502728462E-2
6.700379080E-1 1.188569237E-2 3.057816811E-2 -2.427753061E-2
6.740379080E-1 3.284709528E-2 2.598795295E-2 -3.947934881E-2
6.780379080E-1 4.253367335E-2 3.321361542E-2 -5.429719388E-2
6.820379080E-1 4.731587693E-2 3.782128543E-2 -6.778858602E-2
6.860379080E-1 4.466297477E-2 3.089232743E-2 -7.326892018E-2
6.900379080E-1 3.703588620E-2 3.389429301E-2 -7.304202765E-2
6.940379080E-1 2.254965343E-2 3.649483621E-2 -6.890559942E-2
6.980379080E-1 8.988445625E-3 3.761184588E-2 -6.497860700E-2
7.020379080E-1 -5.078908056E-3 3.399901465E-2 -6.515314430E-2
7.060379080E-1 -1.312487572E-2 2.057743259E-2 -6.775368005E-2
7.100379080E-1 -1.731366664E-2 -1.431170036E-3 -6.948155910E-2
7.140379080E-1 -1.932079531E-2 -1.637118869E-2 -7.295475900E-2
7.180379080E-1 -2.028072625E-2 -2.312561311E-2 -7.161086053E-2
7.220379080E-1 -1.813396998E-2 -2.488839440E-2 -6.208136305E-2
7.260379080E-1 -1.680752076E-2 -1.752310619E-2 -4.738568887E-2
7.300379080E-1 -1.331686229E-2 -1.272345055E-2 -3.677408770E-2
7.340379080E-1 -9.529497474E-3 -9.372417815E-3 -3.310889751E-2
7.380379080E-1 -2.234021435E-3 -3.682644805E-3 -3.275983036E-2
7.420379080E-1 4.921828397E-3 -5.497787148E-3 -3.385938704E-2
7.460379080E-1 1.010545623E-2 -1.336922217E-2 -3.567453101E-2
7.500379080E-1 1.237438433E-2 -1.572541706E-2 -3.132865950E-2
7.540379080E-1 9.948376566E-3 -6.248278543E-3 -2.808234841E-2
7.580379080E-1 8.115780540E-3 2.234021435E-3 -2.302089334E-2
7.620379080E-1 3.263765713E-3 7.155850064E-3 -1.898918301E-2
7.660379080E-1 6.457717973E-4 1.174606569E-2 -1.328195538E-2
7.700379080E-1 -6.283185212E-4 1.251401100E-2 -8.011061698E-3
7.740379080E-1 -1.117010717E-3 9.389871731E-3 -8.307767101E-3
7.780379080E-1 -1.745329209E-4 3.001966281E-3 -1.062905509E-2
7.820379080E-1 -1.745329238E-3 7.487462368E-3 -7.487462368E-3
7.860379080E-1 -9.826203808E-3 2.912954427E-2 4.747295752E-3
