"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.828510000E-1,1.099557383E-3,1.850049011E-3,-7.853981806E-4
4.868510000E-1,-7.853981806E-4,1.797689125E-3,-6.806784077E-4
4.908510000E-1,-9.773843922E-4,2.792526793E-4,-8.028514567E-4
4.948510000E-1,6.108652451E-4,3.490658492E-5,-8.203047328E-4
4.988510000E-1,1.186823938E-3,8.726646192E-4,-1.291543595E-3
5.028510000E-1,1.221730490E-4,1.239183708E-3,-2.094395168E-4
5.068510000E-1,9.075712296E-4,1.797689125E-3,5.235987919E-5
5.108510000E-1,3.490658419E-4,7.330382941E-4,1.186823938E-3
5.148510000E-1,3.665191471E-4,7.504915702E-4,1.047197497E-3
5.188510000E-1,3.665191471E-4,1.361356815E-3,6.248278543E-3
5.228510000E-1,1.117010717E-3,7.679448463E-4,3.281218931E-3
5.268510000E-1,1.012290944E-3,6.108652451E-4,-6.981316983E-5
5.308510000E-1,6.806784077E-4,1.483529806E-3,8.377580671E-4
5.348510000E-1,0.000000000E0,1.256637042E-3,1.919862116E-4
5.388510000E-1,1.762782573E-3,4.363323096E-4,-5.585053586E-4
5.428510000E-1,1.029744279E-3,1.134464052E-3,1.169370604E-3
5.468510000E-1,5.410520826E-4,1.012290944E-3,-1.745329246E-5
5.508510000E-1,4.014257283E-4,1.134464052E-3,-1.745329209E-4
5.548510000E-1,1.274090377E-3,4.188790335E-4,-6.632251316E-4
5.588510000E-1,-2.792526793E-4,2.268928074E-4,8.726646047E-5
5.628572500E-1,1.919862116E-4,6.283185212E-4,-5.934119690E-4
5.668510000E-1,-1.029744279E-3,5.759586347E-4,-7.679448463E-4
5.708510000E-1,0.000000000E0,7.155850180E-4,-5.235987483E-4
5.748510000E-1,-1.745329246E-5,1.658062800E-3,2.792526793E-4
5.788510000E-1,1.047197584E-4,1.745329238E-3,-5.410520826E-4
5.828510000E-1,2.967059845E-4,1.169370604E-3,-7.679448463E-4
5.868510000E-1,3.490658419E-4,5.759586347E-4,-8.203047328E-4
5.908510000E-1,-5.235987483E-4,-1.745329246E-5,-3.839724232E-4
5.948510000E-1,-3.141592606E-4,4.014257283E-4,-4.188790335E-4
5.988510000E-1,-2.443460980E-4,2.268928074E-4,-1.221730490E-4
6.028510000E-1,-3.839724232E-4,1.745329209E-4,-6.457717973E-4
6.068510000E-1,-1.221730490E-4,6.108652451E-4,-7.853981806E-4
6.108510000E-1,-5.235987919E-5,1.483529806E-3,-8.203047328E-4
6.148510000E-1,1.047197584E-4,1.396263367E-3,-3.839724232E-4
6.188510000E-1,0.000000000E0,9.250245057E-4,1.745329246E-5
6.228510000E-1,4.188790335E-4,1.117010717E-3,-4.537856148E-4
6.268510000E-1,-2.094395168E-4,7.155850180E-4,0.000000000E0
6.308510000E-1,-3.839724232E-4,7.504915702E-4,-1.570796303E-4
6.348510000E-1,1.745329209E-4,3.141592606E-4,-9.599310579E-4
6.388510000E-1,3.141592606E-4,6.457717973E-4,1.745329246E-5
6.428510000E-1,3.490658419E-4,1.186823938E-3,-6.108652451E-4
6.468510000E-1,1.256637042E-3,7.155850180E-4,-7.853981806E-4
6.508510000E-1,5.934119690E-4,4.537856148E-4,-8.203047328E-4
6.548510000E-1,5.759586347E-4,9.773843922E-4,-8.377580671E-4
6.588510000E-1,-1.745329246E-5,9.773843922E-4,-3.839724232E-4
6.628572500E-1,1.047197584E-4,8.203047328E-4,-7.155850180E-4
6.668510000E-1,5.934119690E-4,3.316125658E-4,-8.028514567E-4
6.708525630E-1,5.759586347E-4,2.094395168E-4,-8.377580671E-4
6.748510000E-1,1.169370604E-3,4.712388909E-4,-8.377580671E-4
6.788510000E-1,4.188790335E-4,3.839724232E-4,-8.377580671E-4
6.828510000E-1,6.806784077E-4,5.235987483E-4,-8.377580671E-4
6.868510000E-1,4.363323096E-4,8.552113432E-4,-8.377580671E-4
6.908510000E-1,3.839724232E-4,3.316125658E-4,-8.377580671E-4
6.948510000E-1,-3.665191471E-4,1.099557383E-3,-8.377580671E-4
6.988510000E-1,3.141592606E-4,1.151917269E-3,-8.377580671E-4
7.028510000E-1,5.061454722E-4,1.326450263E-3,-8.377580671E-4
7.068510000E-1,-3.490658492E-5,1.361356815E-3,-3.839724232E-4
7.108510000E-1,2.617993741E-4,6.283185212E-4,-7.155850180E-4
7.148510000E-1,3.316125658E-4,2.792526793E-4,-8.028514567E-4
7.188510000E-1,3.490658419E-4,7.853981806E-4,-8.726646047E-5
7.228510000E-1,-8.203047328E-4,1.082104165E-3,-4.886921961E-4
7.268510000E-1,1.919862116E-4,4.014257283E-4,-7.504915702E-4
7.308510000E-1,7.679448463E-4,6.632251316E-4,-5.235987483E-4
7.348510000E-1,6.283185212E-4,-1.396263397E-4,-1.570796303E-4
7.388510000E-1,0.000000000E0,9.773843922E-4,-2.094395168E-4
7.428510000E-1,7.155850180E-4,3.665191471E-4,-6.806784077E-4
7.468510000E-1,4.537856148E-4,5.061454722E-4,-8.028514567E-4
7.508510000E-1,8.726646047E-5,1.308996929E-3,5.235987919E-5
7.548510000E-1,1.396263397E-4,4.537856148E-4,-2.967059845E-4
7.588510000E-1,1.064650831E-3,2.268928074E-4,-5.410520826E-4
7.628635000E-1,6.981316837E-4,7.679448463E-4,-7.679448463E-4
7.668510000E-1,7.504915702E-4,6.283185212E-4,1.570796361E-3
7.708510000E-1,6.108652451E-4,7.330382941E-4,2.443460980E-4
7.748510000E-1,5.759586347E-4,1.361356815E-3,1.745329209E-4
7.788510000E-1,2.617993741E-4,1.675516134E-3,-5.759586347E-4
7.828510000E-1,-5.410520826E-4,1.308996929E-3,-7.679448463E-4
7.868510000E-1,-1.570796303E-4,1.064650831E-3,-5.235987483E-4
7.908510000E-1,-6.632251316E-4,3.839724232E-4,2.792526793E-4
7.948510000E-1,-4.886921961E-4,5.235987483E-4,2.757620299E-3
7.988510000E-1,1.396263397E-4,1.047197584E-4,3.839724232E-4
8.028510000E-1,0.000000000E0,1.186823938E-3,-9.599310579E-4
8.068510000E-1,1.221730490E-4,5.759586347E-4,-8.726646192E-4
8.108510000E-1,0.000000000E0,-1.745329209E-4,-8.552113432E-4
8.148510000E-1,1.221730490E-4,6.981316983E-5,-3.839724232E-4
8.188510000E-1,-2.792526793E-4,5.934119690E-4,-7.155850180E-4
8.228510000E-1,-1.047197584E-4,2.617993741E-4,8.377580671E-4
8.268510000E-1,6.981316837E-4,6.457717973E-4,1.919862116E-4
8.308510000E-1,4.537856148E-4,7.330382941E-4,-2.617993741E-4
8.348510000E-1,3.839724232E-4,1.815142459E-3,-2.443460980E-4
8.388510000E-1,3.665191471E-4,1.483529806E-3,-2.268928074E-4
8.428510000E-1,3.665191471E-4,8.028514567E-4,-2.268928074E-4
8.468510000E-1,-5.235987483E-4,7.853981806E-4,-2.268928074E-4
8.508510000E-1,8.726646192E-4,3.141592606E-4,3.665191471E-4
8.548510000E-1,3.490658419E-4,8.028514567E-4,-5.235987483E-4
8.588510000E-1,2.094395168E-4,1.378810150E-3,-7.504915702E-4
8.628510000E-1,-4.188790335E-4,1.378810150E-3,-3.665191471E-4
8.668510000E-1,-2.792526793E-4,1.378810150E-3,-7.155850180E-4
8.708510000E-1,3.316125658E-4,9.250245057E-4,-8.028514567E-4
8.748510000E-1,1.867502346E-3,9.599310579E-4,-9.773843922E-4
8.788510000E-1,1.797689125E-3,6.981316983E-5,-7.155850180E-4
8.828510000E-1,1.343903481E-3,4.363323096E-4,-5.061454722E-4
8.868510000E-1,9.250245057E-4,5.235987483E-4,-1.396263397E-4
8.908510000E-1,-8.726646047E-5,8.552113432E-4,-5.235987919E-5
8.948510000E-1,8.726646047E-5,1.082104165E-3,-3.316125658E-4
8.988510000E-1,7.504915702E-4,5.585053586E-4,-4.014257283E-4
9.028510000E-1,1.745329246E-5,2.617993741E-4,-1.221730490E-4
9.068510000E-1,-4.712388909E-4,4.886921961E-4,-9.599310579E-4
9.108510000E-1,1.396263397E-4,8.377580671E-4,-1.012290944E-3
9.148510000E-1,3.141592606E-4,3.316125658E-4,-4.363323096E-4
9.188510000E-1,-3.839724232E-4,5.061454722E-4,-2.792526793E-4
9.228510000E-1,1.745329246E-5,1.448623254E-3,-8.726646047E-5
9.268510000E-1,-1.570796303E-4,1.710422686E-3,8.726646047E-5
9.308510000E-1,-5.235987919E-5,1.605702913E-3,1.204277156E-3
9.348510000E-1,8.726646047E-5,1.745329238E-3,0.000000000E0
9.388510000E-1,4.537856148E-4,1.169370604E-3,1.605702913E-3
9.428510000E-1,5.235987483E-4,1.029744279E-3,1.169370604E-3
9.468510000E-1,1.012290944E-3,9.948377265E-4,-9.250245057E-4
9.508541250E-1,5.235987483E-4,6.632251316E-4,-5.585053586E-4
9.548510000E-1,4.014257283E-4,7.504915702E-4,-7.679448463E-4
9.588510000E-1,8.203047328E-4,1.570796303E-4,-8.203047328E-4
9.628572500E-1,4.886921961E-4,4.537856148E-4,-8.377580671E-4
9.668510000E-1,4.014257283E-4,5.410520826E-4,-1.291543595E-3
9.708510000E-1,1.274090377E-3,1.151917269E-3,-9.599310579E-4
9.748510000E-1,9.075712296E-4,1.029744279E-3,1.745329246E-5
9.788510000E-1,1.256637042E-3,1.884955564E-3,-9.075712296E-4
9.828510000E-1,2.967059845E-4,1.204277156E-3,-5.585053586E-4
9.868510000E-1,3.490658419E-4,1.029744279E-3,1.221730490E-4
9.908510000E-1,2.094395168E-4,8.377580671E-4,1.570796303E-4
9.948510000E-1,1.745329209E-4,1.832595677E-3,-4.188790335E-4
9.988525630E-1,3.141592606E-4,1.954768784E-3,-7.330382941E-4
1.002851000E0,-8.726646047E-5,9.250245057E-4,-8.028514567E-4
1.006851000E0,2.443460980E-4,1.256637042E-3,-5.235987483E-4
1.010851000E0,-2.443460980E-4,4.363323096E-4,-6.108652451E-4
1.014851000E0,-8.726646047E-5,2.268928074E-4,-7.853981806E-4
1.018851000E0,6.981316837E-4,1.745329246E-5,-1.117010717E-3
1.022851000E0,4.537856148E-4,8.726646192E-4,-7.679448463E-4
1.026851000E0,-5.235987919E-5,1.099557383E-3,6.806784077E-4
