"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.200000000E-1,-2.899999963E-3,5.999999703E-4,-7.959999889E-2
7.300000000E-1,-3.099999856E-3,5.999999703E-4,-6.979999691E-2
7.400000000E-1,6.599999964E-3,6.999999750E-4,-9.919999540E-2
7.500000000E-1,6.499999668E-3,1.049999986E-2,-7.959999889E-2
7.600000000E-1,6.399999838E-3,6.999999750E-4,-7.959999889E-2
7.700000000E-1,-3.399999812E-3,7.999999798E-4,-8.940000087E-2
7.800000000E-1,6.300000008E-3,8.999999845E-4,-7.959999889E-2
7.900000000E-1,-1.329999976E-2,7.999999798E-4,-8.940000087E-2
8.000000000E-1,6.099999882E-3,7.999999798E-4,-9.919999540E-2
8.100000000E-1,6.099999882E-3,7.999999798E-4,-9.919999540E-2
8.200000000E-1,-3.599999938E-3,7.999999798E-4,-9.919999540E-2
8.300000000E-1,-3.700000001E-3,6.999999750E-4,-7.959999889E-2
8.400000000E-1,-1.349999942E-2,7.999999798E-4,-8.940000087E-2
8.500000000E-1,-3.799999831E-3,7.999999798E-4,-9.919999540E-2
8.600000000E-1,-3.899999894E-3,8.999999845E-4,-7.959999889E-2
8.700000000E-1,-3.999999724E-3,8.999999845E-4,-7.959999889E-2
8.800000000E-1,-4.100000020E-3,8.999999845E-4,-8.940000087E-2
8.900000000E-1,-4.100000020E-3,1.099999994E-3,-8.940000087E-2
9.000000000E-1,-1.389999967E-2,1.099999994E-3,-8.940000087E-2
9.100000000E-1,5.499999970E-3,1.199999941E-3,-8.940000087E-2
9.200000000E-1,-1.399999950E-2,1.199999941E-3,-7.959999889E-2
9.300000000E-1,-1.409999933E-2,1.099999994E-3,-8.940000087E-2
9.400000000E-1,-4.399999976E-3,1.099999994E-3,-8.940000087E-2
9.500031250E-1,-4.499999806E-3,1.099999994E-3,-8.940000087E-2
9.600000000E-1,-4.600000102E-3,1.199999941E-3,-6.979999691E-2
9.700000000E-1,5.099999718E-3,1.199999941E-3,-8.940000087E-2
9.800000000E-1,-1.449999958E-2,-1.809999906E-2,-8.940000087E-2
9.900000000E-1,-1.459999941E-2,1.599999960E-3,-8.940000087E-2
1.000000000E0,-4.900000058E-3,1.599999960E-3,-7.959999889E-2
1.010000000E0,-4.999999888E-3,1.599999960E-3,-7.959999889E-2
1.020000000E0,-1.480000000E-2,1.500000013E-3,-9.919999540E-2
1.030000000E0,4.600000102E-3,1.599999960E-3,-6.979999691E-2
1.040000000E0,4.499999806E-3,1.139999926E-2,-7.959999889E-2
1.050000000E0,4.399999976E-3,1.799999969E-3,-7.959999889E-2
1.060000000E0,-5.399999674E-3,1.899999916E-3,-7.959999889E-2
1.070003125E0,-5.299999844E-3,1.999999862E-3,-5.020000041E-2
1.080000000E0,4.299999680E-3,1.999999862E-3,-8.940000087E-2
1.090003125E0,1.399999950E-2,1.899999916E-3,-9.919999540E-2
1.100000000E0,-5.599999800E-3,-7.799999788E-3,-9.919999540E-2
1.110000000E0,1.370000001E-2,1.899999916E-3,-5.999999866E-2
1.120000000E0,3.899999894E-3,1.999999862E-3,-9.919999540E-2
1.130000000E0,3.700000001E-3,1.999999862E-3,-8.940000087E-2
1.140000000E0,3.700000001E-3,2.099999925E-3,-6.979999691E-2
1.150000000E0,-1.589999907E-2,2.099999925E-3,-7.959999889E-2
1.160000000E0,3.499999875E-3,1.999999862E-3,-8.940000087E-2
1.170000000E0,-1.609999873E-2,2.099999925E-3,-8.940000087E-2
1.180000000E0,-1.609999873E-2,2.099999925E-3,-1.187999994E-1
1.190000000E0,-6.399999838E-3,2.099999925E-3,-9.919999540E-2
1.200000000E0,-6.399999838E-3,-7.599999662E-3,-7.959999889E-2
1.210000000E0,-2.016000003E-1,-6.417999864E-1,-6.979999691E-2
1.220000000E0,-1.123999953E-1,-1.638499975E0,-7.959999889E-2
1.230000000E0,-7.279999554E-2,-2.794299841E0,-7.959999889E-2
1.240000000E0,8.410000056E-2,-4.723700047E0,-8.949999511E-2
1.250000000E0,2.410999984E-1,-7.339200020E0,-8.959999681E-2
1.260000000E0,1.625999957E-1,-9.256599426E0,-7.979999483E-2
1.270000000E0,-7.270000130E-2,-9.582499504E0,-7.019999623E-2
1.280000000E0,-5.235999823E-1,-7.286499977E0,-6.059999764E-2
1.290000000E0,-8.368999958E-1,-4.204599857E0,-1.393000036E-1
1.300000000E0,-9.844999909E-1,-1.514499903E0,-3.179999813E-2
1.310000000E0,-1.093500018E0,-2.763999999E-1,-6.149999797E-2
1.320003125E0,-1.006899953E0,-3.999999911E-2,-3.249999881E-2
1.330000000E0,-9.891999960E-1,-2.458999902E-1,-1.210999936E-1
1.340000000E0,-9.909999967E-1,-1.051399946E0,-1.410999894E-1
1.350000000E0,-8.666999936E-1,-1.955599904E0,-2.298000008E-1
1.360000000E0,-6.354999542E-1,-2.948400021E0,-1.516999900E-1
1.370000000E0,-5.647000074E-1,-4.176899910E0,1.911000013E-1
1.380000000E0,-6.064000130E-1,-5.018799782E0,-8.399999887E-2
1.390000000E0,-7.197999954E-1,-4.690299988E0,1.797999889E-1
1.400000000E0,-6.057999730E-1,-4.090300083E0,-7.580000162E-2
1.410000000E0,-5.199999809E-1,-2.843799829E0,-7.649999857E-2
1.420000000E0,-1.378999949E-1,-1.959999919E0,2.755999863E-1
1.430000000E0,1.245100021E0,2.167999893E-1,-1.565999985E-1
1.440000000E0,1.263499975E0,8.912999630E-1,-2.062999904E-1
1.450000000E0,9.292999506E-1,8.971999884E-1,-4.030000046E-2
1.460000000E0,7.706999779E-1,5.974999666E-1,-4.099999741E-2
1.470000000E0,1.114999950E-1,-3.204999864E-1,-1.297999918E-1
1.480000000E0,9.049999714E-2,-1.013999939E0,1.659999974E-2
1.490000000E0,1.979999989E-2,-1.687600017E0,-1.310999990E-1
1.500000000E0,8.449999988E-2,1.483999938E-1,-4.339999706E-2
1.510000000E0,-4.095999897E-1,-1.105099916E0,1.324999928E-1
