"Time (s)" "Gyroscope x (rad/s)" "Gyroscope y (rad/s)" "Gyroscope z (rad/s)"
1.488826740E-1 -4.190535471E-2 -1.000597253E-1 1.328195538E-2
1.518826740E-1 4.520402756E-3 -3.092723340E-2 8.901178953E-4
1.558826740E-1 8.185594343E-3 -2.848377265E-2 -1.535889693E-3
1.598826740E-1 9.407324716E-3 -2.481858246E-2 -1.535889693E-3
1.638826740E-1 5.742133129E-3 -2.359685116E-2 8.901178953E-4
1.678826740E-1 1.062905509E-2 -2.359685116E-2 -2.757620299E-3
1.718826740E-1 8.185594343E-3 -2.848377265E-2 -1.535889693E-3
1.758826740E-1 6.963863503E-3 -2.726204321E-2 -1.535889693E-3
1.798826740E-1 3.298672382E-3 -2.359685116E-2 -2.757620299E-3
1.838826740E-1 4.520402756E-3 -2.115339041E-2 -3.979350906E-3
1.878826740E-1 8.552113432E-4 -2.237512171E-2 -1.518436475E-3
1.918826740E-1 1.815142459E-3 -2.066469751E-2 -1.605702913E-3
1.958826740E-1 2.635447076E-3 -1.773254573E-2 -2.897246508E-3
1.998826740E-1 5.410520826E-3 -1.623156108E-2 -1.727875904E-3
2.038826740E-1 8.255407214E-3 -1.808161102E-2 -1.570796361E-3
2.078826740E-1 1.064650808E-2 -2.038544603E-2 -1.239183708E-3
2.118826740E-1 1.593485661E-2 -2.293362655E-2 -1.902408898E-3
2.158826740E-1 1.987930015E-2 -2.616248466E-2 -2.967059612E-3
2.198826740E-1 2.527236752E-2 -3.225368261E-2 -4.014257342E-3
2.238826740E-1 2.607521974E-2 -4.167846218E-2 -3.979350906E-3
2.278826740E-1 2.446951531E-2 -5.002113804E-2 -3.822271014E-3
2.318826740E-1 1.893682219E-2 -5.986479297E-2 -4.084070213E-3
2.358826740E-1 1.192059834E-2 -6.379178166E-2 -3.246312495E-3
2.398826740E-1 7.539822254E-3 -5.850343779E-2 -2.565633971E-3
2.438826740E-1 4.572762642E-3 -4.687954485E-2 -2.705260413E-3
2.478826740E-1 5.026548170E-3 -3.075270168E-2 -1.675516134E-3
2.518826740E-1 4.677482415E-3 -1.659808122E-2 -1.710422686E-3
2.558826740E-1 3.996803891E-3 -7.487462368E-3 -9.773843922E-4
2.598826740E-1 2.757620299E-3 -9.023352526E-3 -1.972222002E-3
2.638826740E-1 -1.047197584E-4 -1.980948634E-2 -2.844886621E-3
2.678842370E-1 -5.061454605E-3 -3.331833705E-2 -3.979350906E-3
2.718826740E-1 -1.103048120E-2 -4.152138159E-2 -5.323254038E-3
2.758826740E-1 -1.740093343E-2 -3.794345632E-2 -6.422811653E-3
2.798857990E-1 -2.387610450E-2 -3.127630055E-2 -6.422811653E-3
2.838857990E-1 -3.143338114E-2 -2.862340026E-2 -5.515240598E-3
2.878857990E-1 -3.371975943E-2 -2.974040993E-2 -6.928957067E-3
2.918857990E-1 -2.904227935E-2 -3.289945796E-2 -7.906341925E-3
2.958857990E-1 -1.818633080E-2 -3.837978840E-2 -6.806783844E-3
2.998857990E-1 -6.771877408E-3 -4.389503226E-2 -7.557275705E-3
3.038857990E-1 4.921828397E-3 -4.593706504E-2 -7.470009383E-3
3.078857990E-1 1.249655709E-2 -3.939208016E-2 -7.435102481E-3
3.118857990E-1 1.717403904E-2 -2.459168993E-2 -6.370451767E-3
3.158857990E-1 2.139773592E-2 -7.312929723E-3 -4.293509759E-3
3.198857990E-1 2.431243658E-2 7.853982039E-3 -4.502949305E-3
3.238857990E-1 2.867575921E-2 1.603957638E-2 -4.852015525E-3
3.278857990E-1 3.221877664E-2 1.546361670E-2 -6.754423957E-3
3.318857990E-1 3.675663471E-2 8.831365965E-3 -8.604473434E-3
3.358857990E-1 4.216715321E-2 -1.762782573E-3 -8.936085738E-3
3.398857990E-1 4.221951589E-2 -1.565560326E-2 -9.634217247E-3
3.438857990E-1 3.862413764E-2 -4.021238536E-2 -1.010545623E-2
3.478857990E-1 3.316125646E-2 -6.874851882E-2 -1.172861271E-2
3.518857990E-1 2.947861142E-2 -8.780751377E-2 -1.532399096E-2
3.558857990E-1 3.197443113E-2 -8.915141970E-2 -1.792453043E-2
3.598857990E-1 3.865904361E-2 -8.255407214E-2 -1.890191622E-2
3.638920490E-1 5.272639543E-2 -8.368853480E-2 -1.944296807E-2
3.678857990E-1 6.649704278E-2 -9.361945838E-2 -2.501056902E-2
3.718857990E-1 7.956956327E-2 -1.037423685E-1 -2.977531776E-2
3.758857990E-1 9.155996889E-2 -1.092576087E-1 -3.207915276E-2
3.798857990E-1 1.001120880E-1 -9.882054478E-2 -3.282964230E-2
3.838857990E-1 1.104444340E-1 -6.358234584E-2 -3.302162886E-2
3.878857990E-1 1.248957589E-1 -1.764527895E-2 -3.337069601E-2
3.918857990E-1 1.423665136E-1 1.781981252E-2 -3.452261165E-2
3.958857990E-1 1.607622802E-1 3.626793995E-2 -3.541272879E-2
3.998857990E-1 1.789660603E-1 2.890265174E-2 -3.611086309E-2
4.038857990E-1 1.871691048E-1 -2.960078418E-2 -3.101450019E-2
4.078857990E-1 1.971174777E-1 -7.375761122E-2 -2.382374369E-2
4.118857990E-1 2.350783944E-1 1.926843449E-2 -1.724385284E-2
4.158857990E-1 2.898468375E-1 1.510407925E-1 -3.345796093E-2
4.198857990E-1 3.212103844E-1 2.160543054E-1 -4.553563893E-2
4.238857990E-1 2.934247553E-1 1.017003357E-1 -2.028072625E-2
4.278857990E-1 2.128603607E-1 -9.567894787E-2 -4.852015525E-3
4.318857990E-1 1.036201939E-1 -2.841919661E-1 -1.788962446E-2
4.358857990E-1 -3.944444004E-3 -4.133637846E-1 -2.131047100E-2
4.398857990E-1 -8.107054234E-2 -4.368210137E-1 -1.706931926E-2
4.438857990E-1 -1.452637464E-1 -3.514045775E-1 -1.624901593E-2
4.478857990E-1 -1.991769671E-1 -2.287777513E-1 -1.576032303E-2
4.518857990E-1 -2.404889166E-1 -1.135162115E-1 -8.552113548E-3
4.558857990E-1 -2.582040131E-1 -4.565781355E-2 -4.241149873E-3
4.598857990E-1 -2.434036136E-1 -2.434734255E-2 -7.644542027E-3
4.638857990E-1 -2.065597177E-1 -4.529129341E-2 -1.380555425E-2
4.678857990E-1 -1.591740251E-1 -9.412560612E-2 -1.752310619E-2
4.718857990E-1 -1.070584953E-1 -1.407957077E-1 -1.743583940E-2
4.758857990E-1 -6.455972791E-2 -1.432217211E-1 -1.514945831E-2
4.798857990E-1 -3.419100121E-2 -7.867944241E-2 -1.455604564E-2
4.838857990E-1 -4.520402849E-2 9.283406287E-2 -2.253220044E-2
4.878857990E-1 -8.770279586E-2 2.977008224E-1 -2.567379363E-2
4.918826740E-1 -1.290845573E-1 4.340459406E-1 -2.197369561E-2
4.958826740E-1 -1.409527957E-1 4.229805470E-1 -3.031636961E-2
4.998826740E-1 -1.265712827E-1 2.839476168E-1 -5.626941472E-2
5.038842370E-1 -1.032187715E-1 6.428047270E-2 -9.421287477E-2
5.078826740E-1 -9.004153311E-2 -1.257160604E-1 -1.218937933E-1
5.118826740E-1 -9.594074637E-2 -2.386737764E-1 -1.282293350E-1
5.158826740E-1 -1.215447262E-1 -2.480985522E-1 -1.058018580E-1
5.198826740E-1 -1.609193534E-1 -1.779886782E-1 -6.199409440E-2
5.238826740E-1 -1.958782971E-1 -7.560766488E-2 -1.684242673E-2
5.278826740E-1 -2.172062248E-1 1.221730490E-3 1.888446324E-2
5.318826740E-1 -2.314655632E-1 4.188790172E-2 3.420845419E-2
5.358826740E-1 -2.442239225E-1 6.553710997E-2 4.705407470E-2
5.398826740E-1 -2.604903877E-1 1.041961536E-1 6.487388909E-2
5.438826740E-1 -2.865656018E-1 1.516342014E-1 8.335692436E-2
5.478826740E-1 -3.172833920E-1 1.926319897E-1 9.827949107E-2
5.518826740E-1 -3.587175310E-1 2.165604532E-1 1.123992056E-1
5.558826740E-1 -4.014431834E-1 2.363175750E-1 1.237612963E-1
5.598826740E-1 -4.395437241E-1 2.554813027E-1 1.321388781E-1
5.638826740E-1 -4.631754756E-1 2.656216621E-1 1.395914257E-1
5.678826740E-1 -4.720417559E-1 2.553242147E-1 1.489114910E-1
5.718826740E-1 -4.653222263E-1 2.106612474E-1 1.609542668E-1
5.759045490E-1 -4.474675059E-1 1.338318437E-1 1.800656170E-1
5.798826740E-1 -4.124038517E-1 1.850049011E-2 2.016029805E-1
5.838826740E-1 -3.671300113E-1 -8.431685716E-2 2.129650712E-1
5.878826740E-1 -3.191858232E-1 -1.438325793E-1 2.085493952E-1
5.918826740E-1 -2.809281945E-1 -1.483529806E-1 1.980425119E-1
5.958826740E-1 -2.548529804E-1 -1.261523962E-1 1.916895062E-1
5.998826740E-1 -2.432290763E-1 -1.073901057E-1 1.951452643E-1
6.038826740E-1 -2.472782433E-1 -1.103397161E-1 2.115513533E-1
6.078826740E-1 -2.515194118E-1 -1.084198505E-1 2.335948646E-1
6.118826740E-1 -2.436130494E-1 -7.799876481E-2 2.557605505E-1
6.158826740E-1 -2.260201424E-1 -2.216568217E-2 2.793050408E-1
6.198826740E-1 -2.069611400E-1 4.111995548E-2 3.056071401E-1
6.238826740E-1 -1.952325255E-1 1.834166497E-1 3.291690946E-1
6.278826740E-1 -1.772905439E-1 3.038269281E-1 3.578972220E-1
6.318826740E-1 -1.450543106E-1 2.421469837E-1 3.730990291E-1
6.358826740E-1 -1.271297783E-1 1.073551998E-1 3.588396907E-1
