"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.579394910E-1,-6.179000139E-1,-3.704999983E-1,2.789099932E0
7.679394910E-1,-9.346999526E-1,-2.551499844E0,2.028999925E-1
7.779394910E-1,-1.562600017E0,1.922999918E-1,-3.026799917E0
7.879394910E-1,1.031599998E0,1.848599911E0,-4.149399757E0
7.979394910E-1,1.269599915E0,-2.304999977E-1,1.212999940E0
8.079394910E-1,7.177999616E-1,-1.260000020E-1,3.770799875E0
8.179394910E-1,6.171000004E-1,-2.020999938E-1,4.190599918E0
8.279394910E-1,4.468999803E-1,-1.236199975E0,2.274499893E0
8.379394910E-1,-5.629999638E-1,-5.529999733E-2,-2.616600037E0
8.479394910E-1,2.689999901E-2,-2.029999904E-2,-5.253799915E0
8.579394910E-1,-7.222999930E-1,1.015999988E-1,-3.536599874E0
8.679410540E-1,-3.564999998E-1,9.995999932E-1,1.176699996E0
8.779394910E-1,-8.021000028E-1,-1.193699956E0,4.685199738E0
8.879394910E-1,3.172999918E-1,-1.273999929E0,3.365599871E0
8.979394910E-1,7.558000088E-1,1.099999994E-1,-1.063799977E0
9.079394910E-1,1.796899915E0,6.597999930E-1,-4.896599770E0
9.179394910E-1,4.628999829E-1,5.099999905E-2,2.992999852E-1
9.279394910E-1,-3.868999779E-1,-1.607100010E0,2.420399904E0
9.379394910E-1,-1.319399953E0,-4.304999828E0,-3.402199984E0
9.479394910E-1,-3.247399807E0,-9.519000053E-1,-6.133299828E0
9.579394910E-1,-2.227699995E0,-1.917099953E0,-3.619299889E0
9.679394910E-1,-2.179899931E0,2.898299932E0,8.536999822E-1
9.779394910E-1,6.570000052E-1,-1.993299961E0,4.920000076E0
9.879394910E-1,1.968699932E0,-1.161599994E0,3.778199911E0
9.979394910E-1,1.297699928E0,1.208199978E0,-2.495699883E0
1.007939491E0,3.819999844E-2,1.248199940E0,-3.814899921E0
1.017939491E0,-1.865999937E0,9.290999770E-1,-1.785999984E-1
1.027939491E0,-2.232100010E0,-9.461999536E-1,3.243700027E0
1.037939491E0,-1.846599936E0,-8.996999860E-1,9.581999779E-1
1.047939491E0,-2.030900002E0,8.411999941E-1,-4.022500038E0
1.057939491E0,-2.202800035E0,2.541999817E-1,-2.012599945E0
1.067939491E0,-3.239899874E0,3.289999813E-2,5.063399792E0
1.077939491E0,6.730999947E-1,-2.468199968E0,3.657799959E0
1.087939491E0,1.521099925E0,-4.705999792E-1,-3.398399830E0
1.097939491E0,2.200799942E0,-1.639000028E-1,-7.741099834E0
1.107939491E0,1.323300004E0,7.313999534E-1,-4.230899811E0
1.117939491E0,1.158599973E0,-4.397599697E0,3.104099989E0
1.127939491E0,-1.587199926E0,-4.684999943E0,3.696799994E0
1.137939491E0,-7.576999664E-1,-4.451900005E0,1.613799930E0
1.147939491E0,9.820000082E-2,-3.971799850E0,-2.974999845E-1
1.157939491E0,2.252999991E-1,-4.469899654E0,4.591999948E-1
1.167939491E0,-4.658999741E-1,-7.083600044E0,4.433999956E-1
1.177939491E0,-8.669999838E-1,-4.831799984E0,-4.780099869E0
1.187939491E0,-2.060000040E-2,-3.691499949E0,-5.976599693E0
1.197939491E0,-8.500000089E-2,-2.615000010E0,-2.297699928E0
1.207939491E0,-1.719999909E-1,-2.355099916E0,4.675099850E0
1.217939491E0,4.585999846E-1,-7.568799973E0,8.076099396E0
1.227939491E0,7.999999523E-1,-4.591599941E0,3.035399914E0
1.237939491E0,1.378799915E0,-1.928799987E0,-4.179399967E0
1.247939491E0,1.768700004E0,-1.802899957E0,-5.754899979E0
1.257939491E0,1.847399950E0,-1.836799979E0,4.059999809E-2
