"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.929296310E-1,-6.499999668E-3,4.999999655E-4,-5.929999799E-2,5.965726910E-2
6.029296310E-1,-6.399999838E-3,5.999999703E-4,-5.929999799E-2,5.964737848E-2
6.129296310E-1,3.499999875E-3,5.999999703E-4,-6.909999996E-2,6.919118437E-2
6.229296310E-1,-6.399999838E-3,4.999999655E-4,-5.929999799E-2,5.964645638E-2
6.329296310E-1,-6.399999838E-3,1.199999941E-3,-6.909999996E-2,6.940612360E-2
6.429296310E-1,8.799999952E-3,8.999999845E-4,-5.929999799E-2,5.995614864E-2
6.529296310E-1,-7.999999798E-4,5.999999703E-4,-4.949999973E-2,4.951009971E-2
6.629296310E-1,-6.999999750E-4,3.999999899E-4,-5.929999799E-2,5.930547834E-2
6.729296310E-1,-5.999999703E-4,1.999999949E-4,-3.969999775E-2,3.970503522E-2
6.829296310E-1,-5.999999703E-4,9.999999747E-5,-4.949999973E-2,4.950373696E-2
6.929296310E-1,-7.699999958E-3,9.999999747E-5,-4.949999973E-2,5.009540870E-2
7.029296310E-1,1.300000004E-3,0.000000000E0,-4.949999973E-2,4.951706750E-2
7.129296310E-1,-6.199999712E-3,0.000000000E0,-4.949999973E-2,4.988677149E-2
7.229296310E-1,2.600000007E-3,0.000000000E0,-5.929999799E-2,5.935696893E-2
7.329296310E-1,9.200000204E-3,0.000000000E0,-5.929999799E-2,6.000941397E-2
7.429296310E-1,-4.999999655E-4,9.699999355E-3,-5.929999799E-2,6.009018013E-2
7.529296310E-1,-5.999999703E-4,-9.999999747E-5,-3.969999775E-2,3.970465743E-2
7.629296310E-1,9.099999443E-3,-9.999999747E-5,-4.949999973E-2,5.032961318E-2
7.729296310E-1,-1.040000003E-2,-9.999999747E-5,-5.929999799E-2,6.020514730E-2
7.829296310E-1,-5.999999703E-4,-9.999999747E-5,-5.929999799E-2,5.930311763E-2
7.929327560E-1,-1.040000003E-2,-1.999999949E-4,-3.969999775E-2,4.104010017E-2
8.029296310E-1,-5.999999703E-4,-9.999999747E-5,-3.969999775E-2,3.970465743E-2
8.129296310E-1,-5.999999703E-4,-1.999999949E-4,-4.949999973E-2,4.950403997E-2
8.229296310E-1,-6.999999750E-4,-1.999999949E-4,-3.969999775E-2,3.970667225E-2
8.329296310E-1,-5.999999703E-4,-1.999999949E-4,-4.949999973E-2,4.950403997E-2
8.429296310E-1,8.799999952E-3,-9.999999747E-5,-4.949999973E-2,5.027623666E-2
8.529296310E-1,-8.999999845E-4,0.000000000E0,-6.909999996E-2,6.910586079E-2
8.629296310E-1,-1.069999952E-2,9.999999747E-5,-4.949999973E-2,5.064336050E-2
