"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.682929631E0,6.000000052E-3,-1.300000004E-3,-4.939999804E-2,4.978001413E-2
1.692929631E0,-3.700000001E-3,-1.300000004E-3,-4.939999804E-2,4.955542156E-2
1.702929631E0,-3.599999938E-3,-1.500000013E-3,-4.939999804E-2,4.955370628E-2
1.712929631E0,6.000000052E-3,-1.500000013E-3,-4.939999804E-2,4.978563856E-2
1.722929631E0,-1.329999976E-2,-1.399999950E-3,-4.939999804E-2,5.117821607E-2
1.732929631E0,6.099999882E-3,-1.199999941E-3,-3.959999979E-2,4.008503438E-2
1.742929631E0,-3.599999938E-3,-1.199999941E-3,-3.959999979E-2,3.978140247E-2
1.752929631E0,-3.599999938E-3,-1.099999994E-3,-4.939999804E-2,4.954321150E-2
1.762929631E0,5.899999756E-3,-1.099999994E-3,-3.959999979E-2,4.005221567E-2
1.772929631E0,-1.329999976E-2,-7.999999798E-4,-4.939999804E-2,5.116531833E-2
1.782929631E0,-3.299999982E-3,-8.999999845E-4,-3.959999979E-2,3.974745253E-2
1.792929631E0,-3.499999875E-3,-7.999999798E-4,-3.959999979E-2,3.976241922E-2
1.802929631E0,6.099999882E-3,-7.999999798E-4,-4.939999804E-2,4.978162115E-2
1.812929631E0,5.899999756E-3,-8.999999845E-4,-5.920000002E-2,5.950008403E-2
1.822929631E0,-3.799999831E-3,-9.999999311E-4,-5.920000002E-2,5.933026210E-2
1.832929631E0,-3.700000001E-3,-7.999999798E-4,-4.939999804E-2,4.954482623E-2
1.842929631E0,-3.700000001E-3,-6.999999750E-4,-4.939999804E-2,4.954331243E-2
1.852929631E0,-1.349999942E-2,-6.999999750E-4,-4.939999804E-2,5.121620633E-2
1.862929631E0,5.899999756E-3,-6.999999750E-4,-5.920000002E-2,5.949739489E-2
1.872929631E0,-3.799999831E-3,-5.999999703E-4,-3.959999979E-2,3.978642962E-2
1.882929631E0,-3.599999938E-3,-3.999999899E-4,-3.959999979E-2,3.976531130E-2
1.892929631E0,-1.349999942E-2,-3.999999899E-4,-3.959999979E-2,4.183981318E-2
1.902929631E0,-3.700000001E-3,-2.999999851E-4,-3.959999979E-2,3.977360913E-2
1.912929631E0,-3.799999831E-3,-1.999999949E-4,-4.939999804E-2,4.954633998E-2
1.922929631E0,-3.599999938E-3,-1.999999949E-4,-3.959999979E-2,3.976380242E-2
1.932929631E0,6.000000052E-3,-1.999999949E-4,-3.959999979E-2,4.005246539E-2
1.942929631E0,-1.339999959E-2,-1.999999949E-4,-5.920000002E-2,6.069794058E-2
1.952929631E0,-1.310000010E-2,-1.999999949E-4,-3.959999979E-2,4.171102954E-2
1.962929631E0,6.300000008E-3,-1.999999949E-4,-4.939999804E-2,4.980050006E-2
1.972929631E0,-3.399999812E-3,-1.999999949E-4,-5.920000002E-2,5.929789204E-2
1.982929631E0,-3.399999812E-3,-1.999999949E-4,-4.939999804E-2,4.951726775E-2
1.992929631E0,-1.310000010E-2,-1.999999949E-4,-4.939999804E-2,5.110782532E-2
2.002929631E0,-3.399999812E-3,-2.999999851E-4,-2.979999967E-2,2.999483254E-2
2.012929631E0,-3.399999812E-3,-2.999999851E-4,-6.909999996E-2,6.918424672E-2
2.022929631E0,6.300000008E-3,-2.999999851E-4,-4.939999804E-2,4.980100206E-2
2.032929631E0,-3.299999982E-3,-2.999999851E-4,-2.979999967E-2,2.998366189E-2
