"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.507904910E-1,-1.165879890E-2,-2.277654596E-2,-1.048942842E-2
1.547904910E-1,-3.106686054E-3,-2.644173801E-2,-8.045967668E-3
1.587904910E-1,-4.328416660E-3,-2.033308521E-2,-6.824237294E-3
1.627904910E-1,1.762782573E-3,-1.300270297E-2,-9.267698042E-3
1.667904910E-1,6.649704650E-3,-3.228859045E-3,-6.824237294E-3
1.707904910E-1,1.031489577E-2,-2.007128671E-3,-8.063420653E-3
1.747904910E-1,1.762782573E-3,-1.178097259E-2,-5.619960371E-3
1.787904910E-1,-1.288053021E-2,-3.499384969E-2,-4.398229532E-3
1.827904910E-1,-3.364994749E-2,-5.331980810E-2,-4.398229532E-3
1.867904910E-1,-6.052801758E-2,-6.431538612E-2,-1.954768784E-3
1.907904910E-1,-6.707300246E-2,-6.138322875E-2,-2.286381321E-3
1.947904910E-1,-8.218755573E-2,-5.611233413E-2,-4.223696887E-3
1.987904910E-1,-8.251916617E-2,-4.028219730E-2,-5.951572675E-3
2.027904910E-1,-7.702138275E-2,-2.169444226E-2,-2.181661548E-3
2.067904910E-1,-7.513642311E-2,-6.161012221E-3,3.595378250E-3
2.107920540E-1,-7.794640213E-2,1.141445339E-2,7.382742595E-3
2.147904910E-1,-7.944738865E-2,3.104940802E-2,9.948377265E-4
2.187904910E-1,-7.141887397E-2,5.635667965E-2,-5.934119225E-3
2.227904910E-1,-5.503023043E-2,6.312856078E-2,-5.497787148E-3
2.267904910E-1,-2.319542505E-2,4.125958309E-2,-1.047197584E-4
2.307904910E-1,1.263618376E-2,2.583087189E-3,5.410520826E-4
2.347904910E-1,4.096287861E-2,-3.115412779E-2,4.014257283E-4
2.387904910E-1,5.017821491E-2,-4.146902263E-2,3.839724232E-3
2.427904910E-1,4.096287861E-2,-2.775073424E-2,5.026548170E-3
2.467904910E-1,2.261946723E-2,-8.639379404E-3,4.293509759E-3
2.507904910E-1,5.602506921E-3,7.766715251E-3,5.602506921E-3
2.547904910E-1,-6.108652451E-4,1.656317525E-2,8.203047328E-3
2.587904910E-1,1.954768784E-3,2.277654596E-2,8.115780540E-3
2.627904910E-1,1.001818944E-2,2.169444226E-2,8.098327555E-3
2.667904910E-1,2.204350755E-2,1.328195538E-2,9.005898610E-3
2.707904910E-1,3.408627957E-2,2.495820867E-3,1.118756086E-2
2.747904910E-1,4.098033160E-2,-6.928957067E-3,1.251401100E-2
2.787904910E-1,4.398229718E-2,-1.481784508E-2,1.406735368E-2
2.827904910E-1,4.070107639E-2,-1.867502369E-2,1.476548519E-2
2.867904910E-1,3.323106840E-2,-1.261873078E-2,1.375319436E-2
2.907904910E-1,2.434734255E-2,-3.490658492E-5,1.108284108E-2
2.947904910E-1,1.268854365E-2,8.813912980E-3,9.930923581E-3
