"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.600000000E-1,-1.279999968E-2,2.799999900E-3,-6.920000166E-2,7.042954082E-2
6.700015630E-1,-2.899999963E-3,1.249999925E-2,-4.949999973E-2,5.113619026E-2
6.800000000E-1,-1.269999985E-2,-6.999999750E-3,-6.920000166E-2,7.070311324E-2
6.900000000E-1,-2.799999900E-3,2.219999954E-2,-5.939999968E-2,6.347471891E-2
7.000000000E-1,-2.799999900E-3,-6.999999750E-3,-5.939999968E-2,5.987653929E-2
7.100000000E-1,-2.899999963E-3,1.239999942E-2,-5.939999968E-2,6.074973208E-2
7.200000000E-1,-1.249999925E-2,-7.199999876E-3,-6.920000166E-2,7.068755342E-2
7.300000000E-1,-2.699999837E-3,-7.199999876E-3,-6.920000166E-2,6.962593071E-2
7.400015630E-1,-1.239999942E-2,-7.100000046E-3,-4.959999770E-2,5.161714597E-2
7.500000000E-1,-1.229999959E-2,-6.999999750E-3,-5.939999968E-2,6.106267230E-2
7.600000000E-1,-2.499999944E-3,2.699999837E-3,-6.920000166E-2,6.929776496E-2
7.700000000E-1,-1.219999976E-2,1.249999925E-2,-6.920000166E-2,7.137037344E-2
7.800000000E-1,7.299999706E-3,2.600000007E-3,-5.939999968E-2,5.990333845E-2
7.900000000E-1,7.199999876E-3,2.699999837E-3,-5.939999968E-2,5.989565893E-2
8.000000000E-1,6.999999750E-3,1.239999942E-2,-5.939999968E-2,6.108289404E-2
8.100000000E-1,-2.799999900E-3,1.229999959E-2,-5.939999968E-2,6.072470627E-2
8.200000000E-1,-2.699999837E-3,2.499999944E-3,-6.920000166E-2,6.929776496E-2
8.300000000E-1,1.659999974E-2,2.499999944E-3,-4.949999973E-2,5.226911100E-2
8.400000000E-1,-2.799999900E-3,-6.999999750E-3,-5.939999968E-2,5.987653929E-2
8.500000000E-1,-2.799999900E-3,-6.999999750E-3,-6.920000166E-2,6.960948373E-2
8.600000000E-1,6.799999624E-3,2.699999837E-3,-7.899999619E-2,7.933807025E-2
8.700000000E-1,-2.899999963E-3,1.239999942E-2,-6.920000166E-2,7.036199411E-2
8.800000000E-1,-2.899999963E-3,2.499999944E-3,-6.920000166E-2,6.930584556E-2
8.900125000E-1,6.799999624E-3,-7.199999876E-3,-5.939999968E-2,6.021992988E-2
9.000000000E-1,-2.899999963E-3,2.600000007E-3,-5.939999968E-2,5.952755632E-2
9.100000000E-1,-2.899999963E-3,2.499999944E-3,-5.939999968E-2,5.952327243E-2
9.200000000E-1,-2.899999963E-3,-6.999999750E-3,-7.899999619E-2,7.936251882E-2
9.300000000E-1,-2.699999837E-3,-6.999999750E-3,-4.949999973E-2,5.006535698E-2
9.400000000E-1,6.799999624E-3,2.699999837E-3,-5.939999968E-2,5.984889269E-2
9.500000000E-1,-1.260000002E-2,-6.999999750E-3,-4.949999973E-2,5.155589171E-2
9.600015630E-1,-2.799999900E-3,1.239999942E-2,-6.920000166E-2,7.035794351E-2
9.700000000E-1,-1.249999925E-2,2.499999944E-3,-4.949999973E-2,5.111506583E-2
9.800000000E-1,6.899999920E-3,2.499999944E-3,-4.949999973E-2,5.004108284E-2
9.900000000E-1,6.899999920E-3,1.229999959E-2,-5.939999968E-2,6.105128951E-2
1.000000000E0,6.799999624E-3,2.499999944E-3,-5.939999968E-2,5.984020351E-2
1.010000000E0,-2.899999963E-3,-7.299999706E-3,-5.939999968E-2,5.991710905E-2
1.020000000E0,6.699999794E-3,2.300000051E-3,-5.939999968E-2,5.982089902E-2
1.030001563E0,1.769999973E-2,2.099999972E-2,-4.959999770E-2,5.669611760E-2
1.040000000E0,-1.199999941E-3,6.999999750E-4,-5.939999968E-2,5.941624325E-2
1.050000000E0,-7.299999706E-3,3.999999899E-4,-5.939999968E-2,5.984822435E-2
1.060000000E0,-8.100000210E-3,-8.799999952E-3,-5.939999968E-2,6.059216091E-2
1.070000000E0,8.999999845E-4,-6.300000008E-3,-5.939999968E-2,5.973993607E-2
1.080000000E0,4.999999655E-4,-4.600000102E-3,-5.939999968E-2,5.957994598E-2
1.090000000E0,-6.999999750E-3,3.799999831E-3,-5.939999968E-2,5.993162735E-2
1.100001563E0,1.799999969E-3,1.049999986E-2,-6.920000166E-2,7.001521425E-2
1.110000000E0,1.300000004E-3,8.299999870E-3,-7.899999619E-2,7.944544918E-2
1.120000000E0,-6.599999964E-3,-8.499999531E-3,-6.920000166E-2,7.003178008E-2
1.130000000E0,-4.799999762E-3,9.999999311E-4,-4.959999770E-2,4.984174725E-2
1.140000000E0,-3.799999831E-3,-6.499999668E-3,-5.949999765E-2,5.997449220E-2
1.150000000E0,1.119999960E-2,9.399999864E-3,-4.959999770E-2,5.171034481E-2
1.160000000E0,-6.499999668E-3,7.100000046E-3,-5.939999968E-2,6.017491137E-2
1.170000000E0,3.199999919E-3,-1.229999959E-2,-5.939999968E-2,6.074446437E-2
1.180001563E0,3.199999919E-3,7.100000046E-3,-6.920000166E-2,6.963684534E-2
1.190000000E0,1.289999951E-2,7.199999876E-3,-5.939999968E-2,6.120955765E-2
1.200000000E0,1.289999951E-2,-2.399999881E-3,-5.939999968E-2,6.083198130E-2
1.210000000E0,-6.599999964E-3,-2.499999944E-3,-5.939999968E-2,5.981780639E-2
1.220000000E0,-6.699999794E-3,-1.200000010E-2,-5.939999968E-2,6.096925423E-2
1.230000000E0,1.289999951E-2,-2.399999881E-3,-6.920000166E-2,7.043301936E-2
1.240001563E0,3.199999919E-3,1.699999906E-2,-5.939999968E-2,6.186760000E-2
1.250000000E0,3.000000026E-3,-2.799999900E-3,-6.920000166E-2,6.932157117E-2
1.260000000E0,-6.699999794E-3,-2.699999837E-3,-5.939999968E-2,5.983761324E-2
1.270000000E0,1.289999951E-2,6.999999750E-3,-6.920000166E-2,7.073931165E-2
1.280000000E0,3.099999856E-3,-2.699999837E-3,-6.920000166E-2,6.932200392E-2
1.290000000E0,-6.599999964E-3,-2.699999837E-3,-5.939999968E-2,5.982649881E-2
1.300000000E0,-6.599999964E-3,1.669999957E-2,-5.939999968E-2,6.205489463E-2
1.310000000E0,3.000000026E-3,6.899999920E-3,-6.920000166E-2,6.960783166E-2
1.320000000E0,1.279999968E-2,-2.799999900E-3,-6.920000166E-2,7.042954082E-2
1.330000000E0,3.000000026E-3,-1.260000002E-2,-4.959999770E-2,5.126323997E-2
1.340000000E0,-6.799999624E-3,-1.269999985E-2,-5.939999968E-2,6.112192694E-2
1.350000000E0,1.279999968E-2,-1.260000002E-2,-4.959999770E-2,5.275186977E-2
1.360000000E0,3.099999856E-3,6.899999920E-3,-5.939999968E-2,5.987971242E-2
1.370000000E0,-6.599999964E-3,6.799999624E-3,-6.920000166E-2,6.984583183E-2
1.380000000E0,1.079999935E-2,-1.049999986E-2,-5.939999968E-2,6.128009420E-2
1.390014063E0,5.799999926E-3,5.099999718E-3,-5.939999968E-2,5.989999965E-2
