"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.960000000E-1,-1.174595356E-1,6.994900107E-2,-9.896404266E0
3.000000000E-1,-1.118379533E-1,4.910986871E-2,-9.893617630E0
3.040000000E-1,-1.316810846E-1,5.991250277E-2,-9.906565666E0
3.080000000E-1,-1.209550723E-1,6.431782991E-2,-9.904611588E0
3.120000000E-1,-1.295933574E-1,6.396349519E-2,-9.901365280E0
3.160000000E-1,-1.230715439E-1,5.956773832E-2,-9.896528244E0
3.200000000E-1,-1.215775609E-1,5.287355185E-2,-9.906765938E0
3.240000000E-1,-1.200548485E-1,4.351700842E-2,-9.914992332E0
3.280000000E-1,-1.238759980E-1,5.392699689E-2,-9.913603783E0
3.320078120E-1,-1.290187389E-1,5.729803443E-2,-9.889259338E0
3.360000000E-1,-1.147205681E-1,5.094861239E-2,-9.893589020E0
3.399984370E-1,-1.156590953E-1,6.143521518E-2,-9.908767700E0
3.440000000E-1,-1.194706634E-1,6.442318112E-2,-9.907628059E0
3.479984370E-1,-1.032092422E-1,6.856035441E-2,-9.909687042E0
3.519984370E-1,-1.177276820E-1,5.794925615E-2,-9.896930695E0
3.559984370E-1,-1.351574659E-1,5.463568121E-2,-9.908547401E0
3.600000000E-1,-1.231673136E-1,5.276820436E-2,-9.897524834E0
3.640000000E-1,-1.151132211E-1,5.265328288E-2,-9.896001816E0
3.679984370E-1,-1.127573252E-1,6.384856999E-2,-9.892621040E0
3.719984370E-1,-1.236461550E-1,6.272808462E-2,-9.895503998E0
3.760000000E-1,-1.266915798E-1,6.177040562E-2,-9.900503159E0
3.799984370E-1,-1.100566611E-1,6.342719495E-2,-9.890686989E0
3.840000000E-1,-1.132074371E-1,6.028600037E-2,-9.910739899E0
3.879984370E-1,-1.166167781E-1,5.665638670E-2,-9.895302773E0
3.920000000E-1,-1.045691520E-1,4.435976967E-2,-9.904400826E0
3.959984370E-1,-1.081317291E-1,4.448426887E-2,-9.899592400E0
3.999984370E-1,-1.104684696E-1,4.751053825E-2,-9.898223877E0
4.040000000E-1,-1.120486408E-1,5.343858153E-2,-9.903720856E0
4.080000000E-1,-1.234258860E-1,5.626374111E-2,-9.908403397E0
4.119984370E-1,-1.227172017E-1,5.204036832E-2,-9.900281906E0
4.159984370E-1,-1.139927283E-1,4.727111757E-2,-9.901058197E0
4.200000000E-1,-1.107940748E-1,4.428315535E-2,-9.899535179E0
4.240000000E-1,-1.189631000E-1,4.255932942E-2,-9.907628059E0
4.279984370E-1,-1.153430641E-1,6.707596034E-2,-9.905846596E0
4.319984370E-1,-1.143662259E-1,6.261315942E-2,-9.899861336E0
4.360000000E-1,-1.209454983E-1,5.812164024E-2,-9.894794464E0
4.399984370E-1,-1.278408021E-1,5.972096696E-2,-9.905875206E0
4.440000000E-1,-1.132553145E-1,5.487510189E-2,-9.900799751E0
4.479984370E-1,-1.224011704E-1,6.163632870E-2,-9.911085129E0
4.520000000E-1,-1.267586201E-1,5.331408232E-2,-9.896404266E0
4.559984370E-1,-1.226022765E-1,5.076665059E-2,-9.898558617E0
4.599984370E-1,-1.238376945E-1,5.408022553E-2,-9.902887344E0
4.640000000E-1,-1.213668734E-1,6.429868191E-2,-9.895627975E0
4.680000000E-1,-1.253029406E-1,6.182786450E-2,-9.894594193E0
4.720000000E-1,-1.214243323E-1,4.982812330E-2,-9.880956650E0
4.759984370E-1,-1.029315218E-1,4.955039918E-2,-9.883427620E0
4.799984370E-1,-1.222192049E-1,5.571785942E-2,-9.893464088E0
4.840000000E-1,-1.114165708E-1,5.740338191E-2,-9.892582893E0
4.879984370E-1,-1.086297259E-1,5.700115487E-2,-9.885218620E0
4.919984370E-1,-1.080168039E-1,6.177997962E-2,-9.895044327E0
4.959984370E-1,-1.063217074E-1,6.942227483E-2,-9.904112816E0
5.000000000E-1,-1.297370046E-1,5.908889696E-2,-9.909313202E0
5.039984370E-1,-1.259062737E-1,5.673300102E-2,-9.909371376E0
5.080000000E-1,-1.173924953E-1,5.499960482E-2,-9.897352219E0
5.119984370E-1,-1.154771373E-1,5.889736116E-2,-9.892161369E0
5.160000000E-1,-1.191259027E-1,4.698381573E-2,-9.898405075E0
5.199984370E-1,-1.291049421E-1,5.586151406E-2,-9.896862984E0
5.239984370E-1,-1.179479510E-1,5.950070173E-2,-9.898271561E0
5.279984370E-1,-1.132170111E-1,4.942589998E-2,-9.894680023E0
5.320000000E-1,-1.238568425E-1,5.505706370E-2,-9.898098946E0
5.359984370E-1,-1.203421578E-1,5.739380419E-2,-9.910902977E0
5.399984370E-1,-1.141651124E-1,6.586927921E-2,-9.904955864E0
5.439984370E-1,-1.125274822E-1,6.544789672E-2,-9.898902893E0
5.480000000E-1,-1.197005063E-1,5.524859950E-2,-9.902447701E0
5.519984370E-1,-1.101620123E-1,6.058287993E-2,-9.908279419E0
5.559984370E-1,-1.192791313E-1,3.797203675E-2,-9.904141426E0
5.599984370E-1,-1.097406298E-1,5.705861747E-2,-9.909869194E0
5.640000000E-1,-1.093862802E-1,6.843586266E-2,-9.906603813E0
5.679984370E-1,-1.224969327E-1,6.744945049E-2,-9.902072906E0
5.719984370E-1,-1.217690930E-1,5.746084079E-2,-9.897534370E0
5.760000000E-1,-1.222862452E-1,5.640739202E-2,-9.892621040E0
5.799984370E-1,-1.183693334E-1,5.798756331E-2,-9.890466690E0
5.840000000E-1,-1.115889475E-1,7.014053315E-2,-9.881923676E0
5.879984370E-1,-1.166838184E-1,6.530424207E-2,-9.892745972E0
5.920000000E-1,-1.115506440E-1,4.929182306E-2,-9.899478912E0
5.960000000E-1,-1.152760237E-1,5.508579314E-2,-9.878447533E0
6.000000000E-1,-1.226884723E-1,5.929958820E-2,-9.887209892E0
6.039984370E-1,-1.161858216E-1,5.032612011E-2,-9.893990517E0
6.080000000E-1,-1.082658023E-1,5.265328288E-2,-9.894163132E0
6.120000000E-1,-1.085148007E-1,6.203855574E-2,-9.892659187E0
6.160000000E-1,-1.102577746E-1,5.868667364E-2,-9.899363518E0
6.200000000E-1,-1.182448342E-1,6.734410673E-2,-9.905932426E0
6.240000000E-1,-1.173637658E-1,5.416642129E-2,-9.900005341E0
6.280000000E-1,-1.221809015E-1,5.940493569E-2,-9.900177956E0
