"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.800000000E-1,5.699999630E-3,-3.199999919E-3,-6.920000166E-2,6.950805870E-2
5.900000000E-1,-3.199999919E-3,4.999999888E-3,-5.939999968E-2,5.969589567E-2
6.000000000E-1,-1.299999934E-2,4.999999888E-3,-7.899999619E-2,8.021844787E-2
6.100000000E-1,-3.199999919E-3,-4.799999762E-3,-5.939999968E-2,5.967947687E-2
6.200000000E-1,6.399999838E-3,4.799999762E-3,-6.920000166E-2,6.966089452E-2
6.300000000E-1,-1.319999993E-2,-4.900000058E-3,-6.920000166E-2,7.061791719E-2
6.400000000E-1,-3.499999875E-3,4.900000058E-3,-5.939999968E-2,5.970443837E-2
6.500000000E-1,6.099999882E-3,5.099999718E-3,-5.939999968E-2,5.992979190E-2
6.600000000E-1,6.099999882E-3,1.499999966E-2,-8.879999816E-2,9.026433217E-2
6.700000000E-1,-1.339999959E-2,5.200000014E-3,-5.939999968E-2,6.111431871E-2
6.800000000E-1,6.099999882E-3,-1.449999958E-2,-5.939999968E-2,6.144770092E-2
6.900000000E-1,5.899999756E-3,-1.420000009E-2,-5.939999968E-2,6.135804724E-2
7.000000000E-1,-3.899999894E-3,-4.199999850E-3,-6.920000166E-2,6.943695145E-2
7.100000000E-1,-1.370000001E-2,-1.409999933E-2,-6.920000166E-2,7.193844738E-2
7.200000000E-1,-3.999999724E-3,1.529999916E-2,-6.920000166E-2,7.098401370E-2
7.300000000E-1,-4.100000020E-3,-1.389999967E-2,-6.920000166E-2,7.070120381E-2
7.400000000E-1,-4.100000020E-3,5.699999630E-3,-5.939999968E-2,5.981354326E-2
7.500000000E-1,-4.199999850E-3,-3.899999894E-3,-6.920000166E-2,6.943695145E-2
7.600000000E-1,-4.299999680E-3,5.899999756E-3,-6.920000166E-2,6.958405150E-2
7.700000000E-1,-4.299999680E-3,-3.599999938E-3,-6.920000166E-2,6.942686963E-2
7.800000000E-1,5.399999674E-3,-1.329999976E-2,-6.920000166E-2,7.067312233E-2
7.900000000E-1,5.200000014E-3,-3.499999875E-3,-7.899999619E-2,7.924827693E-2
8.000000000E-1,-4.499999806E-3,-3.199999919E-3,-6.920000166E-2,6.941995554E-2
8.100000000E-1,-1.429999992E-2,1.630000025E-2,-6.920000166E-2,7.251772359E-2
8.200000000E-1,-1.420000009E-2,1.649999991E-2,-6.920000166E-2,7.254329899E-2
8.300000000E-1,5.299999844E-3,6.799999624E-3,-6.920000166E-2,6.973499998E-2
