"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.408510000E-1,3.543018363E-3,9.250245057E-4,5.235987919E-5
4.448510000E-1,1.623156248E-3,6.108652451E-4,1.919862116E-4
4.488510000E-1,1.274090377E-3,3.665191471E-4,2.268928074E-4
4.528510000E-1,1.326450263E-3,9.075712296E-4,2.443460980E-4
4.568510000E-1,1.954768784E-3,1.500983140E-3,2.443460980E-4
4.608510000E-1,1.658062800E-3,1.047197497E-3,6.981316837E-4
4.648510000E-1,1.291543595E-3,2.146754880E-3,3.665191471E-4
4.688510000E-1,1.343903481E-3,1.815142459E-3,2.792526793E-4
4.728510000E-1,7.504915702E-4,8.377580671E-4,-4.712388909E-4
4.768510000E-1,4.537856148E-4,7.330382941E-4,-8.726646047E-5
4.808510000E-1,3.665191471E-4,1.448623254E-3,-2.792526793E-4
4.848510000E-1,1.396263367E-3,1.186823938E-3,-3.316125658E-4
4.888510000E-1,2.268928103E-3,8.203047328E-4,8.726646047E-5
4.928510000E-1,1.291543595E-3,1.029744279E-3,2.094395168E-4
4.968510000E-1,1.483529806E-3,3.176499158E-3,-5.235987919E-5
5.008510000E-1,1.850049011E-3,2.251474652E-3,-4.188790335E-4
5.048510000E-1,3.735004691E-3,1.692969352E-3,-6.632251316E-4
5.088510000E-1,5.148721393E-3,1.099557383E-3,-1.221730490E-4
5.128510000E-1,2.199114766E-3,4.118977115E-3,1.396263397E-4
5.168510000E-1,1.134464052E-3,1.727875904E-3,8.203047328E-4
5.208510000E-1,1.745329238E-3,2.164208330E-3,6.981316837E-4
5.248510000E-1,1.605702913E-3,2.426007763E-3,3.665191471E-4
5.288510000E-1,8.203047328E-4,1.588249579E-3,2.792526793E-4
5.328510000E-1,1.675516134E-3,1.378810150E-3,2.617993741E-4
5.368510000E-1,1.588249579E-3,1.326450263E-3,2.443460980E-4
5.408510000E-1,2.164208330E-3,1.151917269E-3,2.443460980E-4
5.448510000E-1,1.413716702E-3,2.164208330E-3,2.443460980E-4
5.488510000E-1,9.250245057E-4,3.141592606E-4,6.981316837E-4
5.528510000E-1,2.146754880E-3,5.934119690E-4,3.665191471E-4
5.568510000E-1,1.256637042E-3,5.235987483E-4,7.330382941E-4
5.608510000E-1,1.186823938E-3,1.553343027E-3,6.806784077E-4
5.648510000E-1,1.308996929E-3,1.815142459E-3,5.061454722E-4
5.688510000E-1,1.500983140E-3,1.745329238E-3,3.141592606E-4
5.728510000E-1,1.535889693E-3,1.570796361E-3,1.466076588E-3
5.768510000E-1,1.710422686E-3,1.221730490E-3,1.012290944E-3
5.808510000E-1,1.291543595E-3,2.024581889E-3,5.934119690E-4
5.848510000E-1,2.251474652E-3,1.797689125E-3,-8.552113432E-4
5.888510000E-1,1.291543595E-3,1.884955564E-3,-1.745329209E-4
5.928510000E-1,2.094394993E-3,1.902408898E-3,1.396263397E-4
5.968510000E-1,1.553343027E-3,1.902408898E-3,2.094395168E-4
6.008510000E-1,9.599310579E-4,1.902408898E-3,2.443460980E-4
6.048510000E-1,1.396263367E-3,1.605702913E-3,-3.490658492E-5
6.088510000E-1,1.972222002E-3,1.535889693E-3,1.745329246E-5
6.128510000E-1,1.675516134E-3,1.658062800E-3,1.919862116E-4
6.168525620E-1,1.745329238E-3,2.146754880E-3,5.235987483E-4
6.208541250E-1,2.199114766E-3,2.129301662E-3,4.712388909E-4
6.248510000E-1,2.478367416E-3,2.268928103E-3,6.108652451E-4
6.288510000E-1,8.901178953E-4,1.099557383E-3,4.886921961E-4
6.328572500E-1,7.853981806E-4,1.256637042E-3,3.141592606E-4
6.368510000E-1,9.075712296E-4,2.792526735E-3,2.617993741E-4
6.408510000E-1,1.239183708E-3,1.082104165E-3,2.443460980E-4
6.448541250E-1,1.623156248E-3,4.886921961E-4,1.291543595E-3
6.488510000E-1,2.024581889E-3,6.457717973E-4,8.203047328E-4
6.528510000E-1,1.535889693E-3,5.235987483E-4,6.981316837E-4
6.568510000E-1,2.757620299E-3,3.490658419E-4,9.773843922E-4
6.608510000E-1,1.884955564E-3,5.934119690E-4,4.363323096E-4
6.648510000E-1,1.937315450E-3,1.274090377E-3,2.967059845E-4
6.688510000E-1,1.954768784E-3,1.448623254E-3,7.155850180E-4
6.728510000E-1,1.518436475E-3,1.186823938E-3,6.632251316E-4
6.768510000E-1,9.424777818E-4,5.235987483E-4,5.235987919E-5
6.808510000E-1,9.424777818E-4,3.490658419E-4,6.457717973E-4
6.848510000E-1,9.424777818E-4,7.504915702E-4,3.490658419E-4
6.888510000E-1,3.054326167E-3,4.014257283E-4,2.792526793E-4
6.928510000E-1,1.343903481E-3,1.064650831E-3,2.617993741E-4
6.968510000E-1,1.361356815E-3,1.099557383E-3,2.443460980E-4
7.008510000E-1,2.111848444E-3,1.553343027E-3,2.443460980E-4
7.048510000E-1,2.007128671E-3,9.250245057E-4,2.443460980E-4
7.088510000E-1,2.129301662E-3,1.343903481E-3,2.443460980E-4
7.128510000E-1,9.599310579E-4,1.012290944E-3,2.443460980E-4
7.168510000E-1,1.256637042E-3,9.250245057E-4,2.443460980E-4
7.208510000E-1,1.483529806E-3,4.537856148E-4,2.443460980E-4
7.248510000E-1,1.535889693E-3,7.853981806E-4,2.443460980E-4
7.288510000E-1,1.710422686E-3,1.169370604E-3,2.443460980E-4
7.328510000E-1,2.199114766E-3,9.599310579E-4,2.443460980E-4
7.368510000E-1,9.773843922E-4,1.815142459E-3,2.443460980E-4
7.408510000E-1,1.710422686E-3,1.291543595E-3,6.981316837E-4
7.448510000E-1,1.745329238E-3,1.448623254E-3,3.665191471E-4
7.488510000E-1,1.012290944E-3,1.047197497E-3,2.792526793E-4
7.528510000E-1,1.727875904E-3,3.316125658E-4,2.617993741E-4
7.568510000E-1,2.059488557E-3,1.500983140E-3,5.410520826E-4
7.608510000E-1,2.583087189E-3,1.500983140E-3,9.250245057E-4
7.648510000E-1,2.583087189E-3,9.075712296E-4,4.188790335E-4
7.688510000E-1,1.535889693E-3,5.934119690E-4,5.934119690E-4
7.728510000E-1,9.424777818E-4,1.867502346E-3,3.490658492E-5
7.768510000E-1,2.303834539E-3,8.552113432E-4,1.919862116E-4
7.808510000E-1,1.605702913E-3,2.094394993E-3,5.410520826E-4
7.848510000E-1,1.274090377E-3,1.361356815E-3,4.712388909E-4
7.888510000E-1,1.483529806E-3,1.012290944E-3,3.141592606E-4
7.928510000E-1,1.692969352E-3,7.679448463E-4,7.155850180E-4
7.968510000E-1,1.448623254E-3,1.012290944E-3,3.665191471E-4
8.008510000E-1,1.378810150E-3,1.675516134E-3,2.792526793E-4
8.048510000E-1,1.815142459E-3,8.028514567E-4,7.155850180E-4
8.088510000E-1,7.155850180E-4,1.919862116E-3,3.665191471E-4
8.128510000E-1,1.483529806E-3,1.466076588E-3,2.792526793E-4
8.168510000E-1,1.099557383E-3,8.901178953E-4,2.617993741E-4
8.208510000E-1,6.806784077E-4,1.343903481E-3,2.443460980E-4
8.248510000E-1,2.530727303E-3,1.308996929E-3,2.443460980E-4
8.288510000E-1,2.862340072E-3,1.762782573E-3,-3.490658492E-5
8.328510000E-1,1.605702913E-3,-5.235987483E-4,1.745329246E-5
8.368510000E-1,2.478367416E-3,6.632251316E-4,-4.014257283E-4
8.408510000E-1,1.343903481E-3,1.291543595E-3,-2.094395168E-4
